generation,best_birb,second_birb,third_birb,generation_average,highest_score1,89,0,0,5.969519149507691,0
2,160,132,132,64.62411120132953,0
3,327,320,312,113.69289207786714,0
4,101,101,101,39.77367766812249,0
5,125,94,94,51.29457655437913,0
6,156,156,144,76.21119900598592,0
7,153,153,152,68.54472695970513,0
8,153,150,149,62.89179432803162,0
9,331,328,325,108.32166116426612,0
10,282,161,155,92.9972467981248,0
11,492,490,309,124.66533161151398,0
12,155,147,143,78.95850732331628,0
13,492,280,157,110.49117216586686,0
14,286,156,141,62.56203238713947,0
15,103,103,90,43.91245667050394,0
16,265,153,141,87.899877647882,0
17,314,142,113,60.25706385397361,0
18,444,157,141,99.900079024591,0
1,0,0,0,0.0,0
2,9,9,9,7.68736118503673,0
1,71,3,3,7.875519796436701,0
2,133,83,83,47.93875511172826,0
3,319,152,102,68.86377620303399,0
4,207,135,135,69.18915105685836,0
